"pop" "a" "bootstrap.num" "date1.est.boot" "maxR2fit.1date.boot" "maxScore.2events.boot"
"308" "JUHOANCEU100g80p" "main" 3 98.20728 0.9776089 0.7421978
"309" "JUHOANCEU100g80p" "main" 4 101.7828 0.9779967 0.7179319
"310" "JUHOANCEU100g80p" "main" 5 95.4541 0.9750906 0.7021606
"311" "JUHOANCEU100g80p" "main" 1 96.82574 0.9834794 0.7221582
"312" "JUHOANCEU100g80p" "main" 2 95.56803 0.9806368 0.7261099
"313" "JUHOANCEU100g80p" "main" 3 96.90224 0.9779688 0.7488384
"314" "JUHOANCEU100g80p" "main" 4 95.18854 0.9766152 0.7309012
"315" "JUHOANCEU100g80p" "main" 5 98.97906 0.9824319 0.7444872
"316" "JUHOANCEU100g80p" "main" 1 97.89941 0.9793673 0.7190814
"317" "JUHOANCEU100g80p" "main" 2 98.74721 0.9768532 0.738762
"318" "JUHOANCEU100g80p" "main" 3 95.4541 0.9816168 0.6983289
"319" "JUHOANCEU100g80p" "main" 4 96.94049 0.9790084 0.7676269
"320" "JUHOANCEU100g80p" "main" 5 96.32929 0.9769321 0.7534274
"321" "JUHOANCEU100g80p" "main" 1 97.97633 0.9790811 0.7734137
"322" "JUHOANCEU100g80p" "main" 2 98.66998 0.9795896 0.7575315
"323" "JUHOANCEU100g80p" "main" 3 94.24316 0.981167 0.7191896
"324" "JUHOANCEU100g80p" "main" 4 97.89941 0.9788628 0.7938138
"325" "JUHOANCEU100g80p" "main" 5 93.52787 0.9789323 0.7576575
"326" "JUHOANCEU100g80p" "main" 1 100.6877 0.9771325 0.7192266
"327" "JUHOANCEU100g80p" "main" 2 96.44374 0.9797084 0.7277368
"328" "JUHOANCEU100g80p" "main" 3 97.97633 0.9778401 0.7358432
"329" "JUHOANCEU100g80p" "main" 4 97.97633 0.9757692 0.7081939
"330" "JUHOANCEU100g80p" "main" 5 91.32423 0.9781367 0.7422007
"331" "JUHOANCEU100g80p" "main" 1 98.78583 0.9795701 0.7629136
"332" "JUHOANCEU100g80p" "main" 2 96.59645 0.9789549 0.769407
"333" "JUHOANCEU100g80p" "main" 3 99.3661 0.9754355 0.7208266
"334" "JUHOANCEU100g80p" "main" 4 98.43849 0.9785921 0.7541807
"335" "JUHOANCEU100g80p" "main" 5 96.44374 0.9799679 0.7446607
"336" "JUHOANCEU100g80p" "main" 1 94.24316 0.9809847 0.7654409
"337" "JUHOANCEU100g80p" "main" 2 94.84766 0.9766383 0.7024355
"338" "JUHOANCEU100g80p" "main" 3 93.56544 0.9782405 0.7560688
"339" "JUHOANCEU100g80p" "main" 4 100.1036 0.9817521 0.7188947
"340" "JUHOANCEU100g80p" "main" 5 94.54517 0.9806891 0.7349945
"341" "JUHOANCEU100g80p" "main" 1 97.43854 0.9792622 0.7460422
"342" "JUHOANCEU100g80p" "main" 2 93.1525 0.9795651 0.7156423
"343" "JUHOANCEU100g80p" "main" 3 99.71509 0.9783278 0.7357241
"344" "JUHOANCEU100g80p" "main" 4 95.26438 0.9808886 0.7404507
"345" "JUHOANCEU100g80p" "main" 5 96.2149 0.9799066 0.7112437
"346" "JUHOANCEU100g80p" "main" 1 97.20851 0.9745441 0.7172373
"347" "JUHOANCEU100g80p" "main" 2 100.376 0.9785343 0.7301759
"348" "JUHOANCEU100g80p" "main" 3 95.18854 0.9768218 0.6969841
"349" "JUHOANCEU100g80p" "main" 4 100.4149 0.9737132 0.7338582
"350" "JUHOANCEU100g80p" "main" 5 98.36139 0.9755071 0.7324947
"351" "JUHOANCEU100g80p" "main" 1 96.55826 0.9760554 0.7458485
"352" "JUHOANCEU100g80p" "main" 2 96.25303 0.9818596 0.7132882
"353" "JUHOANCEU100g80p" "main" 3 98.9404 0.9749617 0.7547843
"354" "JUHOANCEU100g80p" "main" 4 95.91022 0.9814904 0.7530414
"355" "JUHOANCEU100g80p" "main" 5 98.47705 0.9781033 0.7796134
"356" "JUHOANCEU100g80p" "main" 1 97.74567 0.9769205 0.7949163
"357" "JUHOANCEU100g80p" "main" 2 96.0625 0.9779056 0.7078457
"358" "JUHOANCEU100g80p" "main" 3 95.22646 0.9782679 0.7660507
"359" "JUHOANCEU100g80p" "main" 4 93.41518 0.9790905 0.7351691
"360" "JUHOANCEU100g80p" "main" 5 100.9219 0.9792089 0.7424368
