"pop" "a" "bootstrap.num" "date1.est.boot" "date2.est.boot" "maxR2fit.1date.boot" "maxScore.2events.boot"
"261" "JOLACEU100g95p" "main" 1 5.704699 99.54028 0.9646518 0.6189544
"262" "JOLACEU100g95p" "main" 2 5.387676 101.6173 0.9626253 0.6239043
"263" "JOLACEU100g95p" "main" 3 4.871939 101.489 0.9652271 0.6942158
"264" "JOLACEU100g95p" "main" 4 3.998953 94.19841 0.9649871 0.646154
"265" "JOLACEU100g95p" "main" 5 5.08808 99.92852 0.9663941 0.648505
"266" "JOLACEU100g95p" "main" 1 5.483698 100.3538 0.9689765 0.6821241
"267" "JOLACEU100g95p" "main" 2 4.350503 89.79233 0.9718463 0.605787
"268" "JOLACEU100g95p" "main" 3 6.92768 99.42326 0.9606469 0.6595853
"269" "JOLACEU100g95p" "main" 4 7.187673 102.1425 0.9657914 0.637285
"270" "JOLACEU100g95p" "main" 5 5.559948 96.49736 0.9679169 0.665431
"271" "JOLACEU100g95p" "main" 1 4.568828 96.9765 0.9662337 0.5900154
"272" "JOLACEU100g95p" "main" 2 3.064624 93.28329 0.9675986 0.6113339
"273" "JOLACEU100g95p" "main" 3 4.280387 95.9579 0.9667391 0.6555947
"274" "JOLACEU100g95p" "main" 4 3.878147 101.1786 0.9629639 0.6362445
"275" "JOLACEU100g95p" "main" 5 5.713925 95.21152 0.9627428 0.6855644
"276" "JOLACEU100g95p" "main" 1 4.572724 98.88494 0.9645356 0.6364589
"277" "JOLACEU100g95p" "main" 2 5.172088 99.41106 0.966786 0.6539886
"278" "JOLACEU100g95p" "main" 3 4.644572 98.12049 0.9641055 0.6835843
"279" "JOLACEU100g95p" "main" 4 5.951782 96.0851 0.9651091 0.5929766
"280" "JOLACEU100g95p" "main" 5 4.667176 98.53496 0.9623503 0.6828192
"281" "JOLACEU100g95p" "main" 1 5.770392 103.6528 0.966247 0.6424444
"282" "JOLACEU100g95p" "main" 2 4.274614 98.55815 0.9698011 0.6571376
"283" "JOLACEU100g95p" "main" 3 5.301376 98.23471 0.9561963 0.6772857
