"pop" "\"main\"" "bootstrap.num" "date1.est.boot" "date2.est.boot" "maxR2fit.1date.boot" "maxScore.2events.boot"
"301" "WOLLOF" "main.null" 1 10.64012 77.47738 0.9228914 0.4130164
"302" "WOLLOF" "main.null" 2 12.62058 81.49711 0.9368616 0.4132226
"303" "WOLLOF" "main.null" 3 10.74824 86.6956 0.9272994 0.5103889
"304" "WOLLOF" "main.null" 4 8.267972 74.05847 0.9138508 0.5153737
"305" "WOLLOF" "main.null" 5 9.830116 65.96598 0.9242327 0.4370491
"306" "WOLLOF" "main.null" 1 11.73583 78.94644 0.922894 0.4715116
"307" "WOLLOF" "main.null" 2 10.85963 65.56093 0.9260657 0.3737226
"308" "WOLLOF" "main.null" 3 10.6396 72.32635 0.9272569 0.4398892
"309" "WOLLOF" "main.null" 4 8.272074 63.82349 0.9219121 0.4049259
"310" "WOLLOF" "main.null" 5 14.14679 74.45486 0.9411836 0.319815
"311" "WOLLOF" "main.null" 1 11.01724 81.25593 0.9298649 0.4758348
"312" "WOLLOF" "main.null" 2 11.7395 79.4385 0.9253135 0.4098661
"313" "WOLLOF" "main.null" 3 9.464389 53.64001 0.9346207 0.3557174
"314" "WOLLOF" "main.null" 4 13.16521 94.69496 0.9222345 0.4707055
"315" "WOLLOF" "main.null" 5 7.789732 61.64323 0.9250997 0.4311343
"316" "WOLLOF" "main.null" 1 11.31384 70.52922 0.9308219 0.4240028
"317" "WOLLOF" "main.null" 2 10.29088 66.79662 0.9279145 0.3568825
"318" "WOLLOF" "main.null" 3 10.85899 65.11259 0.9375433 0.4044027
"319" "WOLLOF" "main.null" 4 9.886904 69.89225 0.9235175 0.4846462
"320" "WOLLOF" "main.null" 5 10.23461 62.04636 0.9332147 0.3806788
"321" "WOLLOF" "main.null" 1 5.880941 61.3265 0.9200449 0.4676367
"322" "WOLLOF" "main.null" 2 11.94485 89.85344 0.9191088 0.4707327
"323" "WOLLOF" "main.null" 3 12.91451 89.30646 0.9169741 0.3986034
"324" "WOLLOF" "main.null" 4 7.50411 53.53339 0.9220404 0.4261114
"325" "WOLLOF" "main.null" 5 14.2682 100.4723 0.9335961 0.4241305
"326" "WOLLOF" "main.null" 1 9.267871 58.17646 0.9285789 0.3545236
"327" "WOLLOF" "main.null" 2 9.233541 70.14208 0.921142 0.4767914
"328" "WOLLOF" "main.null" 3 14.02334 101.0927 0.9190087 0.4185682
"329" "WOLLOF" "main.null" 4 14.89131 87.66273 0.9312736 0.3483535
"330" "WOLLOF" "main.null" 5 10.72502 60.65019 0.9316367 0.3901105
"331" "WOLLOF" "main.null" 1 9.300594 65.61028 0.9308251 0.452152
"332" "WOLLOF" "main.null" 2 10.96211 80.2162 0.9147815 0.4830819
"333" "WOLLOF" "main.null" 3 10.34142 67.92446 0.9191395 0.4706759
"334" "WOLLOF" "main.null" 4 9.291833 66.75449 0.9269508 0.4257862
"335" "WOLLOF" "main.null" 5 12.0212 72.78527 0.9338814 0.3667865
"336" "WOLLOF" "main.null" 1 5.188989 47.71111 0.928283 0.3345844
"337" "WOLLOF" "main.null" 2 10.60564 60.50796 0.9345639 0.3336596
"338" "WOLLOF" "main.null" 3 10.62254 72.70964 0.9279049 0.4257376
"339" "WOLLOF" "main.null" 4 11.5803 91.89397 0.9178152 0.4857028
"340" "WOLLOF" "main.null" 5 9.308913 72.98175 0.9189279 0.5247439
"341" "WOLLOF" "main.null" 1 4.64226 61.07661 0.9111909 0.4818836
"342" "WOLLOF" "main.null" 2 13.17358 85.9277 0.9227547 0.3880634
"343" "WOLLOF" "main.null" 3 11.78371 84.22329 0.9278015 0.430224
"344" "WOLLOF" "main.null" 4 10.34107 72.78243 0.9227778 0.427973
"345" "WOLLOF" "main.null" 5 13.3714 75.81665 0.9383844 0.3588442
"346" "WOLLOF" "main.null" 1 10.41988 80.70266 0.9138884 0.4827943
"347" "WOLLOF" "main.null" 2 11.59497 58.43277 0.9409364 0.36299
"348" "WOLLOF" "main.null" 3 7.680085 68.68608 0.9182999 0.5612827
"349" "WOLLOF" "main.null" 4 12.00119 98.25078 0.9136715 0.4048763
"350" "WOLLOF" "main.null" 5 13.6815 85.32315 0.9286005 0.3671855
"351" "WOLLOF" "main.null" 1 8.520944 69.99451 0.9236129 0.4100346
"352" "WOLLOF" "main.null" 2 11.5101 73.46067 0.9248449 0.4167486
"353" "WOLLOF" "main.null" 3 12.26318 84.63386 0.9242722 0.4643858
"354" "WOLLOF" "main.null" 4 11.68838 82.40189 0.9184 0.4296147
"355" "WOLLOF" "main.null" 5 11.34282 70.82354 0.9303263 0.4151222
