,Cluster,Analysis,Result,date.1D,alpha,max(R1),FQ1,FQ2,best.source1,best.source2,alpha2,best.source1.ev2,best.source2.ev2,date.2D.1,date.2D.2,maxScore2ev,alpha2.date1,best.source1.date1,best.source2.date1,alpha2.date2,best.source1.date2,best.source2.date2,pval,nump,date.1D.H,date.1D.L,Date.CI,date.2D.2.H,date.2D.2.L,Date2b.CI,date.2D.1.H,date.2D.1.L,Date2a.CI,FinalResult
141,JOLAMALAWI400g90p,main,1D,5.90135175112884,0.35,0.812,0.999,0.999,MANJAGO,SERERE,0.49,MANJAGO,SERERE,5.01356783258863,88.66223318918,0.07,0.39,MANJAGO,SERERE,0.27,MANJAGO,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
181,JOLAJUHOAN300g80p,main,1MW,5.92599193895563,0.3,0.826,0.915,0.999,MANJAGO,MANJAGO,0.46,MANJAGO,MANJAGO,5.08968112202021,184.341970088304,0.22,0.28,MANJAGO,MANJAGO,0.27,XUN,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
185,JOLAJUHOAN300g95p,main,1D,6.27744153816334,0.3,0.802,0.988,0.999,MANJAGO,MANJAGO,0.5,MANJAGO,MANJAGO,5.01708369758184,101.958406505907,0.15,0.31,MANJAGO,MANJAGO,0.37,MANJAGO,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
127,JOLAMALAWI200g80p,main,1MW,6.38007981323958,0.17,0.844,0.967,0.999,MANJAGO,SERERE,0.45,SERERE,SERERE,5.51515020251914,106.419702550711,0.1,0.19,MANJAGO,SERERE,0.45,SERERE,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
125,JOLAMALAWI100g95p,main,1D,6.51846849873564,0.2,0.868,0.989,1,MANJAGO,SERERE,0.43,SERERE,MANJAGO,5.04701306392191,89.1926736838211,0.21,0.22,MANJAGO,SERERE,0.4,SERERE,MANDINKAI,1,0,8,5,(1702-1762),122,64,(1621B-56),6,4,(1747-1805),1D
123,JOLAMALAWI100g90p,main,2D,6.71162230987097,0.22,0.833,0.976,0.999,MANJAGO,SERERE,0.3,MANJAGO,SERERE,4.41022837268723,96.5203330986474,0.46,0.24,MANJAGO,SERERE,0.31,SEMI.BANTU,MANJAGO,1,0,8,6,(1686-1757),117,61,(1479B-156),5,3,(1763-1834),2D
179,JOLAJUHOAN200g95p,main,2D,6.94417845507115,0.26,0.824,0.889,1,MANJAGO,MANJAGO,0.25,MANJAGO,MANJAGO,5.61337394079516,125.226565690741,0.6,0.25,MANJAGO,MANJAGO,0.11,XUN,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
175,JOLAJUHOAN200g80p,main,2D,7.12622547587252,0.42,0.851,0.965,1,MANJAGO,MALINKE,0.37,MANJAGO,MALINKE,2.70751063916766,172.988064197525,0.71,0.26,MANJAGO,MALINKE,0.23,XUN,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
138,JOLAMALAWI300g95p,ancient,1D,7.38570426117763,0.27,0.646,0.998,0.999,MANJAGO,SERERE,0.49,SERERE,MANJAGO,7.63578828790386,39.1281993548419,0.06,0.32,MANJAGO,SERERE,0.44,MANJAGO,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
11,JOLACEU200g95p,main,2D,7.55535396223665,0.4,0.8,0.992,1,MANJAGO,WOLLOF,0.36,MANJAGO,WOLLOF,3.27819626635673,115.359451535994,0.75,0.33,MANJAGO,WOLLOF,0.16,IBS,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
144,JOLAMALAWI400g95p,ancient,1D,8.4390625,0.34,0.705,0.998,0.999,MANJAGO,SERERE,0.49,MANJAGO,MANJAGO,10.9120051562752,44.2997707763133,0.06,0.4,MANJAGO,SERERE,0.49,MANJAGO,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
134,JOLAMALAWI300g80p,ancient,2D,9.5851806640625,0.26,0.658,0.967,0.997,MANJAGO,SERERE,0.49,SERERE,SERERE,15.0832734956562,589.312498179566,0.38,0.25,MANJAGO,SERERE,0.33,MZIGUA,WOLLOF,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
128,JOLAMALAWI200g80p,ancient,2D,10.2640625,0.3,0.629,0.897,0.998,SERERE,SERERE,0.47,SERERE,SERERE,15.8821917117862,251.630258157114,0.44,0.28,MANJAGO,SERERE,0.28,MZIGUA,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
142,JOLAMALAWI400g90p,ancient,1D,11.06259765625,0.28,0.629,0.996,0.997,MANJAGO,SERERE,0.39,MANJAGO,SERERE,16.6611410251264,762.605324790095,0.32,0.28,MANJAGO,SERERE,0.37,KAMBE,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
140,JOLAMALAWI400g80p,ancient,1D,11.50625,0.18,0.58,0.991,0.997,MANJAGO,SERERE,0.39,SERERE,SERERE,6.56206343081814,23.7848993669519,0.07,0.36,MANJAGO,SERERE,0.46,SERERE,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
136,JOLAMALAWI300g90p,ancient,1D,11.82900390625,0.25,0.66,0.992,0.999,MANJAGO,SERERE,0.48,SERERE,SERERE,13.2132334042283,48.0655459868853,0.11,0.34,MANJAGO,SERERE,0.41,SERERE,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
192,JOLAJUHOAN400g95p,ancient,2D,12.55625,0.37,0.65,0.938,0.997,MANJAGO,MANJAGO,0.46,MANJAGO,MANJAGO,16.7794363285959,597.370412615609,0.54,0.36,MANJAGO,MANJAGO,0.09,XUN,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
190,JOLAJUHOAN400g90p,ancient,2D,12.55625,0.33,0.53,0.656,0.997,MANJAGO,MANJAGO,0.37,MANJAGO,MANJAGO,17.9298699980803,456.49286551713,0.61,0.27,MANJAGO,MANJAGO,0.14,XUN,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
132,JOLAMALAWI200g95p,ancient,1D,13.16884765625,0.26,0.653,0.99,0.999,MANJAGO,SERERE,0.39,SERERE,MANJAGO,11.4972736315995,38.5188731467275,0.12,0.34,MANJAGO,SERERE,0.48,MANJAGO,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
130,JOLAMALAWI200g90p,ancient,1D,13.8480687375312,0.27,0.655,0.981,0.998,MANJAGO,SERERE,0.35,MANJAGO,SERERE,9.48800070203038,52.599012220479,0.2,0.36,MANJAGO,SERERE,0.47,SERERE,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
126,JOLAMALAWI100g95p,ancient,2D,16.4735055237442,0.15,0.687,0.926,0.997,MANJAGO,SERERE,0.33,MANDINKAI,SERERE,9.31478985727558,44.6600590393985,0.36,0.17,MANJAGO,SERERE,0.45,SERERE,WOLLOF,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
188,JOLAJUHOAN400g80p,ancient,2D,20.3728259635061,0.45,0.582,0.975,0.999,MANJAGO,MANJAGO,0.37,MANJAGO,MANJAGO,21.0989839047362,422.320145199019,0.66,0.41,MANJAGO,MANJAGO,0.22,XUN,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
24,JOLACEU400g95p,ancient,2D,21.3119797769329,0.47,0.637,0.985,0.999,MANJAGO,MANJAGO,0.4,WOLLOF,MANJAGO,15.1061543459192,289.740153611476,0.61,0.49,MANJAGO,WOLLOF,0.19,FULAI,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
6,JOLACEU100g95p,ancient,2D,78.5225219726562,0.08,0.981,1,1,GBR,SERERE,0.35,MANJAGO,WOLLOF,12.6294471623065,80.6538278632255,0.42,0.27,MANJAGO,WOLLOF,0.09,GBR,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
174,JOLAJUHOAN100g95p,ancient,2D,83.12890625,0.09,0.981,0.998,1,XUN,SERERE,0.39,MANJAGO,MALINKE,25.5217053571224,82.4942819794871,0.45,0.2,MANJAGO,FULAII,0.09,XUN,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
4,JOLACEU100g90p,ancient,2D,85.9133453369141,0.12,0.988,1,1,GBR,SERERE,0.37,MANJAGO,FULAI,16.1536844879635,83.8290205903112,0.44,0.25,MANJAGO,FULAI,0.13,GBR,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
5,JOLACEU100g95p,main,2D,87.72265625,0.08,0.981,0.998,1,GBR,SERERE,0.43,MANJAGO,WOLLOF,4.96900605207825,99.3047143857583,0.77,0.4,MANJAGO,WOLLOF,0.07,GBR,SERERE,1,0,92,81,(734B-434B),104,92,(1106B-754B),6,3,(1739-1823),2D
173,JOLAJUHOAN100g95p,main,2D,90.2139282226562,0.08,0.961,0.996,1,XUN,SERERE,0.28,MANJAGO,MALINKE,4.24802414371381,101.916822932666,0.77,0.4,MANJAGO,MALINKE,0.07,XUN,SERERE,1,0,94,82,(800B-467B),107,75,(1190B-244B),5,1,(1774-1888),1D
171,JOLAJUHOAN100g90p,main,2D,95.9863433837891,0.12,0.97,0.999,1,XUN,SERERE,0.29,MANJAGO,BAMBARA,4.67732199453538,96.736381174817,0.77,0.2,MANJAGO,MALINKE,0.12,XUN,MANDINKAI,1,0,100,90,(987B-681B),102,91,(1037B-727B),5,4,(1763-1814),2D
169,JOLAJUHOAN100g80p,main,2D,101.312744140625,0.22,0.964,0.999,1,XUN,MANDINKAI,0.3,MANJAGO,BAMBARA,5.41693802464305,102.542272594167,0.77,0.25,MANJAGO,BAMBARA,0.23,XUN,MANDINKAI,1,0,105,96,(1117B-875B),107,97,(1187B-887B),6,4,(1737-1799),2D
12,JOLACEU200g95p,ancient,2D,135.777587890625,0.09,0.966,0.999,1,GBR,MANJAGO,0.4,MANJAGO,WOLLOF,10.7291264007347,144.535533211661,0.57,0.47,MANJAGO,WOLLOF,0.11,IBS,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
180,JOLAJUHOAN200g95p,ancient,2D,144.790670208678,0.1,0.947,0.998,1,XUN,MANJAGO,0.43,MANJAGO,MANJAGO,18.8347075204898,180.668292815172,0.66,0.37,MANJAGO,MANJAGO,0.09,XUN,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
178,JOLAJUHOAN200g90p,ancient,2D,175.646949281507,0.14,0.958,0.999,1,XUN,MANJAGO,0.43,MALINKE,MANJAGO,19.7504218917202,186.059570362509,0.59,0.42,MANJAGO,MANJAGO,0.13,XUN,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
176,JOLAJUHOAN200g80p,ancient,2D,177.579786179332,0.22,0.966,1,1,XUN,MANJAGO,0.26,MANJAGO,MANJAGO,21.2709898376032,175.639211761425,0.66,0.46,MANJAGO,BAMBARA,0.21,XUN,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
18,JOLACEU300g95p,ancient,2D,179.384087469776,0.2,0.903,0.997,1,FULAI,MANJAGO,0.41,MANJAGO,WOLLOF,8.06217924084168,224.410033991128,0.56,0.48,MANJAGO,WOLLOF,0.14,IBS,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
184,JOLAJUHOAN300g90p,ancient,2D,222.948459813757,0.15,0.896,1,1,XUN,MANJAGO,0.44,MANJAGO,MANJAGO,32.0235123081651,274.757889274181,0.63,0.4,MANJAGO,MANJAGO,0.13,XUN,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
182,JOLAJUHOAN300g80p,ancient,2D,243.977340694788,0.26,0.87,0.999,1,XUN,MANJAGO,0.42,FULAII,MANJAGO,17.6983142670373,269.623906826131,0.68,0.42,MANJAGO,MANJAGO,0.22,XUN,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
163,JUHOANMALAWI400g80p,main,1D,6.58832183522413,0.17,0.929,0.999,1,FULAII,XUN,0.13,XUN,XUN,5.55395714614607,54.3305463035054,0.1,0.16,FULAII,XUN,0.28,KHWE,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
41,JUHOANCEU300g95p,main,1D,6.76487724152169,0.16,0.898,0.999,1,FULAII,KARRETJIE,0.23,NAMA,XUN,4.30787778028015,38.647397807675,0.17,0.14,FULAII,KARRETJIE,0.13,KHWE,KARRETJIE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
